method,loss_type,epsilon,clean_area,adv_area,mask_area_ratio,iou,clean_score,adv_score,score_drop,l_inf,l2,attack_success
FGSM,minimize_area,0.01568627450980392,61030,313,0.005128625266262494,0.005128625266262494,1.0318653583526611,0.8792278170585632,0.1526375412940979,0.01568627450980392,10.867769772981198,True
FGSM,minimize_area,0.03137254901960784,61030,312,0.005112239882025233,0.005112239882025233,1.0318653583526611,0.8720036149024963,0.1598617434501648,0.03137254901960784,21.735539545962396,True
FGSM,minimize_area,0.06274509803921569,61030,307,0.005030312960838931,0.005030312960838931,1.0318653583526611,0.8635455369949341,0.16831982135772705,0.06274509803921569,43.47107909192479,True
FGSM,minimize_score,0.01568627450980392,61030,60933,0.9984106177289858,0.9965459099317368,1.0318653583526611,0.9212136268615723,0.11065173149108887,0.01568627450980392,10.867769772981198,False
FGSM,minimize_score,0.03137254901960784,61030,60822,0.9965918400786499,0.9947288293744987,1.0318653583526611,0.9030451774597168,0.12882018089294434,0.03137254901960784,21.735539545962396,False
FGSM,minimize_score,0.06274509803921569,61030,60707,0.9947075208913649,0.9925200910028316,1.0318653583526611,0.890829861164093,0.14103549718856812,0.06274509803921569,43.47107909192479,False
FGSM,bce_loss,0.01568627450980392,61030,319,0.005226937571686056,0.005226937571686056,1.0318653583526611,0.8727249503135681,0.15914040803909302,0.01568627450980392,10.867769772981198,True
FGSM,bce_loss,0.03137254901960784,61030,313,0.005128625266262494,0.005128625266262494,1.0318653583526611,0.8711991310119629,0.16066622734069824,0.03137254901960784,21.735539545962396,True
FGSM,bce_loss,0.06274509803921569,61030,315,0.005161396034737015,0.005161396034737015,1.0318653583526611,0.8671730756759644,0.16469228267669678,0.06274509803921569,43.47107909192479,True
FGSM,combined,0.01568627450980392,61030,313,0.005128625266262494,0.005128625266262494,1.0318653583526611,0.8791300654411316,0.15273529291152954,0.01568627450980392,10.867769772981198,True
FGSM,combined,0.03137254901960784,61030,312,0.005112239882025233,0.005112239882025233,1.0318653583526611,0.8718675971031189,0.15999776124954224,0.03137254901960784,21.735539545962396,True
FGSM,combined,0.06274509803921569,61030,307,0.005030312960838931,0.005030312960838931,1.0318653583526611,0.8633642792701721,0.168501079082489,0.06274509803921569,43.47107909192479,True
PGD-7,minimize_area,0.03137254901960784,61030,62,0.0010158938227101426,0.0010158938227101426,1.0318653583526611,0.8665494322776794,0.1653159260749817,0.03137254901960784,12.138594116619423,True
PGD-10,minimize_area,0.03137254901960784,61030,16,0.0002621661477961658,0.0002621661477961658,1.0318653583526611,0.784781277179718,0.24708408117294312,0.03137254901960784,12.33210879547085,True
PGD-20,minimize_area,0.03137254901960784,61030,14593,0.2391119121743405,0.2391119121743405,1.0318653583526611,0.4711225926876068,0.5607427358627319,0.03137254901960784,12.257070239554091,True
PGD-7,minimize_score,0.03137254901960784,61030,34478,0.5649352777322628,0.5501274081768458,1.0318653583526611,0.749972403049469,0.28189295530319214,0.03137254901960784,11.990476164301167,False
PGD-10,minimize_score,0.03137254901960784,61030,247,0.0040471899066033094,0.0040471899066033094,1.0318653583526611,0.8695321679115295,0.1623331904411316,0.03137254901960784,12.096449509435939,True
PGD-20,minimize_score,0.03137254901960784,61030,191,0.0031296083893167293,0.0031296083893167293,1.0318653583526611,0.8895263075828552,0.1423390507698059,0.03137254901960784,12.09260500191793,True
PGD-7,bce_loss,0.03137254901960784,61030,1328,0.021759790267081764,0.021759790267081764,1.0318653583526611,0.8517755270004272,0.1800898313522339,0.03137254901960784,12.104364825456912,True
PGD-10,bce_loss,0.03137254901960784,61030,272,0.004456824512534819,0.004456824512534819,1.0318653583526611,0.8293973803520203,0.20246797800064087,0.03137254901960784,12.258482927788748,True
PGD-20,bce_loss,0.03137254901960784,61030,65,0.0010650499754219236,0.0010650499754219236,1.0318653583526611,0.5040954351425171,0.527769923210144,0.03137254901960784,12.406986658920562,True
PGD-7,combined,0.03137254901960784,61030,57,0.0009339669015238408,0.0009339669015238408,1.0318653583526611,0.6966996788978577,0.33516567945480347,0.03137254901960784,12.12390345501578,True
PGD-10,combined,0.03137254901960784,61030,18,0.00029493691627068653,0.00029493691627068653,1.0318653583526611,0.6503457427024841,0.381519615650177,0.03137254901960784,12.430506557329776,True
PGD-20,combined,0.03137254901960784,61030,7279,0.11926921186301818,0.11926921186301818,1.0318653583526611,0.9748877882957458,0.05697757005691528,0.03137254901960784,12.187650451560044,True
